Date,Opponent,Location,Points For,Points Against
2017-11-25,Georgia,Home,7,38
2017-11-18,Duke,Away,20,43
2017-11-11,Virginia Tech,Home,28,22
2017-11-04,Virginia,Away,36,40
2017-10-28,Clemson,Away,10,24
2017-10-21,Wake Forest,Home,38,24
2017-10-14,Miami-FL,Away,24,25
2017-09-30,North Carolina,Home,33,7
2017-09-23,Pittsburgh,Home,35,17
2017-09-09,Jacksonville State,Home,37,10
2017-09-04,Tennessee,Neutral,41,42
2016-12-31,Kentucky,Neutral,33,18
2016-11-26,Georgia,Away,28,27
2016-11-19,Virginia,Home,31,17
2016-11-12,Virginia Tech,Away,30,20
2016-11-05,North Carolina,Away,20,48
2016-10-29,Duke,Home,38,35
2016-10-15,Georgia Southern,Home,35,24
2016-10-08,Pittsburgh,Away,34,37
2016-10-01,Miami-FL,Home,21,35
2016-09-22,Clemson,Home,7,26
2016-09-17,Vanderbilt,Home,38,7
2016-09-10,Mercer,Home,35,10
2016-09-03,Boston College,Neutral,17,14
2015-11-28,Georgia,Home,7,13
2015-11-21,Miami-FL,Away,21,38
2015-11-12,Virginia Tech,Home,21,23
2015-10-31,Virginia,Away,21,27
2015-10-24,Florida State,Home,22,16
2015-10-17,Pittsburgh,Home,28,31
2015-10-10,Clemson,Away,24,43
2015-10-03,North Carolina,Home,31,38
2015-09-26,Duke,Away,20,34
2015-09-19,Notre Dame,Away,22,30
2015-09-12,Tulane,Home,65,10
2015-09-03,Alcorn State,Home,69,6
2014-12-31,Mississippi State,Neutral,49,34
2014-12-06,Florida State,Neutral,35,37
2014-11-29,Georgia,Away,30,24
2014-11-15,Clemson,Home,28,6
2014-11-08,North Carolina State,Away,56,23
2014-11-01,Virginia,Home,35,10
2014-10-25,Pittsburgh,Away,56,28
2014-10-18,North Carolina,Away,43,48
2014-10-11,Duke,Home,25,31
2014-10-04,Miami-FL,Home,28,17
2014-09-20,Virginia Tech,Away,27,24
2014-09-13,Georgia Southern,Home,42,38
2014-09-06,Tulane,Away,38,21
2014-08-30,Wofford,Home,38,19
