Date,Opponent,Location,Points For,Points Against
2017-11-25,Georgia,Home,7,38
2017-11-18,Duke,Away,20,43
2017-11-11,Virginia Tech,Home,28,22
2017-11-04,Virginia,Away,36,40
2017-10-28,Clemson,Away,10,24
2017-10-21,Wake Forest,Home,38,24
2017-10-14,Miami-FL,Away,24,25
2017-09-30,North Carolina,Home,33,7
2017-09-23,Pittsburgh,Home,35,17
2017-09-09,Jacksonville State,Home,37,10
2017-09-04,Tennessee,Neutral,41,42
2016-12-31,Kentucky,Neutral,33,18
2016-11-26,Georgia,Away,28,27
2016-11-19,Virginia,Home,31,17
2016-11-12,Virginia Tech,Away,30,20
2016-11-05,North Carolina,Away,20,48
2016-10-29,Duke,Home,38,35
2016-10-15,Georgia Southern,Home,35,24
2016-10-08,Pittsburgh,Away,34,37
2016-10-01,Miami-FL,Home,21,35
2016-09-22,Clemson,Home,7,2
2016-09-17,Vanderbilt,Home,38,7
2016-09-10,Mercer,Home,35,10
2016-09-03,Boston College,Neutral,17,14
2015-11-28,Georgia,Home,7,13
2015-11-21,Miami-FL,Away,21,38
2015-11-12,Virginia Tech,Home,21,23
2015-10-31,Virginia,Away,21,27
2015-10-24,Florida State,Home,22,16
2015-10-17,Pittsburgh,Home,28,31
