Date,Opponent,Location,Points For,Points Against
2016-12-31,Kentucky,Neutral,33,18
2016-11-19,Virginia,Home,31,17
2016-11-12,Virginia Tech,Away,30,20
2016-11-05,North Carolina,Away,20,48
2016-10-29,Duke,Home,38,35
2016-10-08,Pittsburgh,Away,34,37
2016-10-01,Miami-FL,Home,21,35
2016-09-17,Vanderbilt,Home,38,7
2016-09-10,Mercer,Home,35,10
2016-09-03,Boston College,Neutral,17,14
2016-10-05,Kentucky,Away,25,17
2016-06-10,Mercer,Away,15, 30
2016-08-20,Mercer,home,29,10
2016-06-15,Mercer,Home,15,20
2016-08-20,Kentucky,Home,20,10
2016-09-10,Kentucky,Away,15,30
2016-08-15,Kentucky,Away,20,20
2017-05-20,Mercer,Away,12,12
2016-11-05,North Carolina,Away,20,28
2016-11-05,North Carolina,Away,10,15
2016-11-05,North Carolina,Away,15,20
2016-11-05,North Carolina,Away,14,19
2016-11-05,North Carolina,Away,29,15
2016-11-05,North Carolina,Away,12,19
2016-11-05,North Carolina,Away,19,15
2016-11-05,North Carolina,Away,10,13
2016-11-05,North Carolina,Away,15,10
2016-11-05,North Carolina,Away,20,13
2016-11-05,North Carolina,Away,19,16
2016-11-05,North Carolina,Away,20,20
2016-11-05,North Carolina,Away,19,19
2016-11-05,North Carolina,Away,15,15
2016-10-29,Duke,Home,10,15
2016-10-29,Duke,Home,10,20
2016-10-29,Duke,Home,13,26
2016-10-29,Duke,Home,15,20
2016-10-29,Duke,Home,16,21
2016-10-29,Duke,Home,20,16
2016-10-29,Duke,Home,17,31
2016-10-29,Duke,Home,24,19
2016-10-29,Duke,Home,20,20
2016-10-29,Duke,Home,17,20
2016-10-29,Duke,Home,19,15
2016-10-29,Duke,Home,10,11
2016-10-29,Duke,Home,20,25
2016-10-29,Duke,Home,21,19
2016-10-29,Duke,Home,19,21
2016-10-29,Duke,Home,10,15
2016-10-29,Duke,Home,15,10
2016-10-29,Duke,Home,20,21
2016-10-29,Duke,Home,19,15
2016-10-29,Duke,Home,24,10
2016-10-29,Duke,Home,10,10
2016-10-29,Duke,Home,12,12
2016-09-22,Clemson,Home,7,1
2016-09-22,Clemson,Home,7,2
2016-09-22,Clemson,Home,7,3
2016-09-22,Clemson,Home,7,4
2016-09-22,Clemson,Home,7,5
2016-09-22,Clemson,Home,7,6
2016-09-22,Clemson,Home,7,7
2016-09-22,Clemson,Home,7,8
2016-09-22,Clemson,Home,7,9
2016-09-22,Clemson,Home,7,10
2016-09-22,Clemson,Home,7,11
2016-09-22,Clemson,Home,7,12
2016-09-22,Clemson,Home,7,13
2016-09-22,Clemson,Home,7,14
2016-09-22,Clemson,Home,7,15
2016-09-22,Clemson,Home,7,16
2016-09-22,Clemson,Home,7,17
2016-09-22,Clemson,Home,7,18
2016-09-22,Clemson,Home,7,19
2016-09-22,Clemson,Home,8,1
2016-09-22,Clemson,Home,8,2
2016-09-22,Clemson,Home,8,3
2016-09-22,Clemson,Home,8,4
2016-09-22,Clemson,Home,8,5
2016-09-22,Clemson,Home,8,6
2016-09-22,Clemson,Home,8,7
2016-09-22,Clemson,Home,8,8
2016-09-22,Clemson,Home,8,9
